device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,gamma_value,algorithm,algorithm_value,duration,correct
esp_32_109,342,WH_C_414,18,WH_C_414,0.8807269283245324,all,-100,0,-100,none,scale,svm_rbf,0.001,1.0119800567626953,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.874464310585111,all,-100,0,-100,none,auto,svm_rbf,0.001,0.9613840579986572,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.8500655863084642,all,-100,0,-100,none,scale,svm_rbf,0.01,0.9844107627868652,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.868028833677097,all,-100,0,-100,none,auto,svm_rbf,0.01,0.9633738994598389,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.721792821059227,all,-100,0,-100,none,scale,svm_rbf,0.1,0.9624309539794922,True
esp_32_109,342,WH_C_414,18,WH_C_625,0.8750847340037067,all,-100,0,-100,none,auto,svm_rbf,0.1,0.9615478515625,False
esp_32_109,342,WH_C_414,18,WH_C_414,0.7778934342184883,all,-100,0,-100,none,scale,svm_rbf,1,0.9570398330688477,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.836784030580389,all,-100,0,-100,none,auto,svm_rbf,1,1.008326768875122,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.7310053019328642,all,-100,0,-100,none,scale,svm_rbf,10,1.0151641368865967,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.8138488148190091,all,-100,0,-100,none,auto,svm_rbf,10,0.972938060760498,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.7355532102237605,all,-100,0,-100,none,scale,svm_rbf,100,0.9660501480102539,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.8384223248519388,all,-100,0,-100,none,auto,svm_rbf,100,0.9814877510070801,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.7036477686483642,all,-100,0,-100,none,scale,svm_rbf,1000,0.9956960678100586,True
esp_32_109,342,WH_C_414,18,WH_C_414,0.8355146175400772,all,-100,0,-100,none,auto,svm_rbf,1000,1.0122261047363281,True
esp_32_106,515,WH_C_456,26,WH_C_456,0.8171905058287979,all,-100,0,-100,none,scale,svm_rbf,0.001,0.9971058368682861,True
esp_32_106,515,WH_C_456,26,WH_C_457,0.8325003502482744,all,-100,0,-100,none,auto,svm_rbf,0.001,0.9951679706573486,False
esp_32_106,515,WH_C_456,26,WH_C_457,0.8133333114260527,all,-100,0,-100,none,scale,svm_rbf,0.01,1.049246072769165,False
esp_32_106,515,WH_C_456,26,WH_C_457,0.8487485201843709,all,-100,0,-100,none,auto,svm_rbf,0.01,1.0851929187774658,False
esp_32_106,515,WH_C_456,26,WH_C_456,0.7022494965046262,all,-100,0,-100,none,scale,svm_rbf,0.1,1.0389189720153809,True
esp_32_106,515,WH_C_456,26,WH_C_457,0.8270335370188368,all,-100,0,-100,none,auto,svm_rbf,0.1,0.9918420314788818,False
esp_32_106,515,WH_C_456,26,WH_C_456,0.6131568766061727,all,-100,0,-100,none,scale,svm_rbf,1,0.9544651508331299,True
esp_32_106,515,WH_C_456,26,WH_C_456,0.7773478804529471,all,-100,0,-100,none,auto,svm_rbf,1,0.9526400566101074,True
esp_32_106,515,WH_C_456,26,WH_C_456,0.5820932357826794,all,-100,0,-100,none,scale,svm_rbf,10,0.9541840553283691,True
esp_32_106,515,WH_C_456,26,WH_C_456,0.7687386385951918,all,-100,0,-100,none,auto,svm_rbf,10,1.0016250610351562,True
esp_32_106,515,WH_C_456,26,WH_C_456,0.620548504917239,all,-100,0,-100,none,scale,svm_rbf,100,0.9463422298431396,True
esp_32_106,515,WH_C_456,26,WH_C_456,0.7986043347074402,all,-100,0,-100,none,auto,svm_rbf,100,0.9798891544342041,True
esp_32_106,515,WH_C_456,26,WH_C_456,0.6993645287294101,all,-100,0,-100,none,scale,svm_rbf,1000,1.015829086303711,True
esp_32_106,515,WH_C_456,26,WH_C_456,0.7954326258239091,all,-100,0,-100,none,auto,svm_rbf,1000,1.0894460678100586,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_355,0.8795722184326582,all,-100,0,-100,none,scale,svm_rbf,0.001,1.0179851055145264,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_355,0.9016321160565364,all,-100,0,-100,none,auto,svm_rbf,0.001,0.9932920932769775,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_355,0.8619623859060874,all,-100,0,-100,none,scale,svm_rbf,0.01,1.001680850982666,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_355,0.9040350943640885,all,-100,0,-100,none,auto,svm_rbf,0.01,1.0183050632476807,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_355,0.8753373689300085,all,-100,0,-100,none,scale,svm_rbf,0.1,1.0132358074188232,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_356,0.8956501139125206,all,-100,0,-100,none,auto,svm_rbf,0.1,1.0135719776153564,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_357,0.7516915417391962,all,-100,0,-100,none,scale,svm_rbf,1,1.0069332122802734,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_357,0.8804486107519143,all,-100,0,-100,none,auto,svm_rbf,1,0.9717562198638916,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_357,0.7965056998109245,all,-100,0,-100,none,scale,svm_rbf,10,0.9673540592193604,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_357,0.8733176217886023,all,-100,0,-100,none,auto,svm_rbf,10,0.9722371101379395,True
