device_id,measurement_id,room_id,room_name,routers,timestamp
esp_32_005,6,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:2c:00', 'signal_strength': -74, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -66, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -66, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -66, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:01', 'signal_strength': -72, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2c:02', 'signal_strength': -73, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -65, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -65, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -66, 'ssid': 'Gast@HTW'}]",1716535590
esp_32_006,7,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:54:a0', 'signal_strength': -74, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:54:a1', 'signal_strength': -75, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:54:a2', 'signal_strength': -74, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:00', 'signal_strength': -77, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -67, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -67, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -71, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:01', 'signal_strength': -74, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2c:02', 'signal_strength': -75, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -68, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -70, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -67, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -68, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -69, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -68, 'ssid': 'eduroam'}]",1716535623
esp_32_007,8,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:2c:00', 'signal_strength': -74, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -69, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -67, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -70, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:01', 'signal_strength': -73, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2c:02', 'signal_strength': -73, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -65, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -65, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -64, 'ssid': 'Gast@HTW'}]",1716535652
esp_32_008,9,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:2c:00', 'signal_strength': -76, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -73, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -71, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -72, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:01', 'signal_strength': -75, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2c:02', 'signal_strength': -75, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -69, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -65, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -67, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -73, 'ssid': 'eduroam'}]",1716535680
esp_32_009,10,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -69, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -68, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -70, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -66, 'ssid': 'HowToUseEduroam'}]",1716535708
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,11,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:54:a0', 'signal_strength': -80, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:54:a1', 'signal_strength': -80, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:54:a2', 'signal_strength': -80, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:00', 'signal_strength': -76, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -80, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -81, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -78, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:01', 'signal_strength': -76, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2c:02', 'signal_strength': -76, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -69, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -70, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -69, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:74:01', 'signal_strength': -81, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:90', 'signal_strength': -63, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:74:10', 'signal_strength': -83, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2c:10', 'signal_strength': -81, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:54:b0', 'signal_strength': -89, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:10', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:50', 'signal_strength': -80, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2f:10', 'signal_strength': -81, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:5b:90', 'signal_strength': -76, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:f0', 'signal_strength': -88, 'ssid': 'eduroam'}]",1716535225
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:54:a0', 'signal_strength': -85, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:54:a1', 'signal_strength': -84, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:54:a2', 'signal_strength': -84, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:00', 'signal_strength': -76, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -75, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -75, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -75, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:01', 'signal_strength': -75, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2c:02', 'signal_strength': -75, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -80, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -80, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -74, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -73, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -73, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -80, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:5b:a2', 'signal_strength': -87, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:5b:a0', 'signal_strength': -88, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:5b:a1', 'signal_strength': -88, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -81, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -82, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -80, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:90', 'signal_strength': -76, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2c:10', 'signal_strength': -90, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:54:b0', 'signal_strength': -88, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:10', 'signal_strength': -77, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:50', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:10', 'signal_strength': -87, 'ssid': 'eduroam'}]",1716535255
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,13,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:2c:00', 'signal_strength': -75, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -67, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -67, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -67, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:01', 'signal_strength': -76, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2c:02', 'signal_strength': -76, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -73, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -73, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:73:90', 'signal_strength': -75, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:10', 'signal_strength': -81, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:50', 'signal_strength': -73, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:5b:90', 'signal_strength': -88, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:2d:10', 'signal_strength': -84, 'ssid': 'eduroam'}]",1716535285
esp_32_205,19,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -76, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -72, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -76, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:01', 'signal_strength': -72, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2c:02', 'signal_strength': -74, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -74, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -73, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -67, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -65, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -65, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -74, 'ssid': 'Gast@HTW'}]",1716884552
esp_32_206,20,1,WH_C_334,"[{'bssid': 'dc:b8:08:c9:2c:00', 'signal_strength': -69, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:41', 'signal_strength': -70, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:61:40', 'signal_strength': -69, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:61:42', 'signal_strength': -71, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2c:01', 'signal_strength': -70, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2c:02', 'signal_strength': -69, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e0', 'signal_strength': -73, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:32:e1', 'signal_strength': -74, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:81', 'signal_strength': -66, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:73:80', 'signal_strength': -66, 'ssid': 'eduroam'}, {'bssid': 'dc:b8:08:c9:73:82', 'signal_strength': -66, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:32:e2', 'signal_strength': -72, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:02', 'signal_strength': -72, 'ssid': 'Gast@HTW'}, {'bssid': 'dc:b8:08:c9:2d:01', 'signal_strength': -71, 'ssid': 'HowToUseEduroam'}, {'bssid': 'dc:b8:08:c9:2d:00', 'signal_strength': -73, 'ssid': 'eduroam'}]",1716884579
